"STEP","TESTING28_super_vw_0.8 - _step","TESTING28_super_vw_0.8 - _step__MIN","TESTING28_super_vw_0.8 - _step__MAX","TESTING28_super_vw_0.8 - IMMUNIZING_LAYER","TESTING28_super_vw_0.8 - IMMUNIZING_LAYER__MIN","TESTING28_super_vw_0.8 - IMMUNIZING_LAYER__MAX","TESTING28_super_vw_0.8 - Toxicity after attacks","TESTING28_super_vw_0.8 - Toxicity after attacks__MIN","TESTING28_super_vw_0.8 - Toxicity after attacks__MAX","TESTING28_super_vw_0.8 - Toxicity after succesful attacks","TESTING28_super_vw_0.8 - Toxicity after succesful attacks__MIN","TESTING28_super_vw_0.8 - Toxicity after succesful attacks__MAX","TESTING28_super_vw_0.8 - Succesfully immunized layers","TESTING28_super_vw_0.8 - Succesfully immunized layers__MIN","TESTING28_super_vw_0.8 - Succesfully immunized layers__MAX","TESTING28_super_vw_0.8 - Unsuccesfully immunized layers","TESTING28_super_vw_0.8 - Unsuccesfully immunized layers__MIN","TESTING28_super_vw_0.8 - Unsuccesfully immunized layers__MAX","TESTING30_ml_vw_0.8 - _step","TESTING30_ml_vw_0.8 - _step__MIN","TESTING30_ml_vw_0.8 - _step__MAX","TESTING30_ml_vw_0.8 - IMMUNIZING_LAYER","TESTING30_ml_vw_0.8 - IMMUNIZING_LAYER__MIN","TESTING30_ml_vw_0.8 - IMMUNIZING_LAYER__MAX","TESTING30_ml_vw_0.8 - Toxicity after attacks","TESTING30_ml_vw_0.8 - Toxicity after attacks__MIN","TESTING30_ml_vw_0.8 - Toxicity after attacks__MAX","TESTING30_ml_vw_0.8 - Toxicity after succesful attacks","TESTING30_ml_vw_0.8 - Toxicity after succesful attacks__MIN","TESTING30_ml_vw_0.8 - Toxicity after succesful attacks__MAX","TESTING30_ml_vw_0.8 - Succesfully immunized layers","TESTING30_ml_vw_0.8 - Succesfully immunized layers__MIN","TESTING30_ml_vw_0.8 - Succesfully immunized layers__MAX","TESTING30_ml_vw_0.8 - Unsuccesfully immunized layers","TESTING30_ml_vw_0.8 - Unsuccesfully immunized layers__MIN","TESTING30_ml_vw_0.8 - Unsuccesfully immunized layers__MAX","TESTING29_ml_vw_0.5 - _step","TESTING29_ml_vw_0.5 - _step__MIN","TESTING29_ml_vw_0.5 - _step__MAX","TESTING29_ml_vw_0.5 - IMMUNIZING_LAYER","TESTING29_ml_vw_0.5 - IMMUNIZING_LAYER__MIN","TESTING29_ml_vw_0.5 - IMMUNIZING_LAYER__MAX","TESTING29_ml_vw_0.5 - Toxicity after attacks","TESTING29_ml_vw_0.5 - Toxicity after attacks__MIN","TESTING29_ml_vw_0.5 - Toxicity after attacks__MAX","TESTING29_ml_vw_0.5 - Toxicity after succesful attacks","TESTING29_ml_vw_0.5 - Toxicity after succesful attacks__MIN","TESTING29_ml_vw_0.5 - Toxicity after succesful attacks__MAX","TESTING29_ml_vw_0.5 - Succesfully immunized layers","TESTING29_ml_vw_0.5 - Succesfully immunized layers__MIN","TESTING29_ml_vw_0.5 - Succesfully immunized layers__MAX","TESTING29_ml_vw_0.5 - Unsuccesfully immunized layers","TESTING29_ml_vw_0.5 - Unsuccesfully immunized layers__MIN","TESTING29_ml_vw_0.5 - Unsuccesfully immunized layers__MAX","TESTING27_super_vw_0.5 - _step","TESTING27_super_vw_0.5 - _step__MIN","TESTING27_super_vw_0.5 - _step__MAX","TESTING27_super_vw_0.5 - IMMUNIZING_LAYER","TESTING27_super_vw_0.5 - IMMUNIZING_LAYER__MIN","TESTING27_super_vw_0.5 - IMMUNIZING_LAYER__MAX","TESTING27_super_vw_0.5 - Toxicity after attacks","TESTING27_super_vw_0.5 - Toxicity after attacks__MIN","TESTING27_super_vw_0.5 - Toxicity after attacks__MAX","TESTING27_super_vw_0.5 - Toxicity after succesful attacks","TESTING27_super_vw_0.5 - Toxicity after succesful attacks__MIN","TESTING27_super_vw_0.5 - Toxicity after succesful attacks__MAX","TESTING27_super_vw_0.5 - Succesfully immunized layers","TESTING27_super_vw_0.5 - Succesfully immunized layers__MIN","TESTING27_super_vw_0.5 - Succesfully immunized layers__MAX","TESTING27_super_vw_0.5 - Unsuccesfully immunized layers","TESTING27_super_vw_0.5 - Unsuccesfully immunized layers__MIN","TESTING27_super_vw_0.5 - Unsuccesfully immunized layers__MAX","BASELINE_2 - _step","BASELINE_2 - _step__MIN","BASELINE_2 - _step__MAX","BASELINE_2 - IMMUNIZING_LAYER","BASELINE_2 - IMMUNIZING_LAYER__MIN","BASELINE_2 - IMMUNIZING_LAYER__MAX","BASELINE_2 - Toxicity after attacks","BASELINE_2 - Toxicity after attacks__MIN","BASELINE_2 - Toxicity after attacks__MAX","BASELINE_2 - Toxicity after succesful attacks","BASELINE_2 - Toxicity after succesful attacks__MIN","BASELINE_2 - Toxicity after succesful attacks__MAX","BASELINE_2 - Succesfully immunized layers","BASELINE_2 - Succesfully immunized layers__MIN","BASELINE_2 - Succesfully immunized layers__MAX","BASELINE_2 - Unsuccesfully immunized layers","BASELINE_2 - Unsuccesfully immunized layers__MIN","BASELINE_2 - Unsuccesfully immunized layers__MAX"
"12","73","73","73","","","","2.88235294117647","2.88235294117647","2.88235294117647","","","","","","","","","","71","71","71","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","","","75","75","75","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","","","73","73","73","","","","2.6470588235294117","2.6470588235294117","2.6470588235294117","","","","","","","","","","75","75","75","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","",""
"13","80","80","80","","","","2.88235294117647","2.88235294117647","2.88235294117647","","","","","","","","","","78","78","78","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","","","82","82","82","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","","","80","80","80","","","","2.7647058823529407","2.7647058823529407","2.7647058823529407","","","","","","","","","","82","82","82","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","",""
"14","87","87","87","","","","2.5882352941176467","2.5882352941176467","2.5882352941176467","","","","","","","","","","85","85","85","","","","3.428571428571428","3.428571428571428","3.428571428571428","","","","","","","","","","89","89","89","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","","","87","87","87","","","","2.8235294117647056","2.8235294117647056","2.8235294117647056","","","","","","","","","","89","89","89","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","",""
"15","95","94","96","","","","2.5882352941176467","2.5882352941176467","2.5882352941176467","","","","2","2","2","","","","93","92","94","","","","3.428571428571428","3.428571428571428","3.428571428571428","","","","2","2","2","","","","97","96","98","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","2","2","2","","","","95","94","96","","","","2.8235294117647056","2.8235294117647056","2.8235294117647056","","","","2","2","2","","","","97","96","98","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","2","2","2","","",""
"16","97","97","97","3","3","3","","","","","","","","","","","","","95","95","95","3","3","3","","","","","","","","","","","","","99","99","99","3","3","3","","","","","","","","","","","","","97","97","97","3","3","3","","","","","","","","","","","","","99","99","99","3","3","3","","","","","","","","","","","",""
"17","103","103","103","","","","2.7647058823529407","2.7647058823529407","2.7647058823529407","","","","","","","","","","101","101","101","","","","3.3571428571428568","3.3571428571428568","3.3571428571428568","","","","","","","","","","105","105","105","","","","3.428571428571428","3.428571428571428","3.428571428571428","","","","","","","","","","103","103","103","","","","2.8235294117647056","2.8235294117647056","2.8235294117647056","","","","","","","","","","105","105","105","","","","3.428571428571428","3.428571428571428","3.428571428571428","","","","","","","","",""
"18","110","110","110","","","","2.2941176470588234","2.2941176470588234","2.2941176470588234","","","","","","","","","","108","108","108","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","","","112","112","112","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","","","110","110","110","","","","2.5294117647058822","2.5294117647058822","2.5294117647058822","","","","","","","","","","112","112","112","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","",""
"19","117","117","117","","","","2.8235294117647056","2.8235294117647056","2.8235294117647056","","","","","","","","","","115","115","115","","","","3.428571428571428","3.428571428571428","3.428571428571428","","","","","","","","","","119","119","119","","","","3.3571428571428568","3.3571428571428568","3.3571428571428568","","","","","","","","","","117","117","117","","","","2.7647058823529407","2.7647058823529407","2.7647058823529407","","","","","","","","","","119","119","119","","","","3.3571428571428568","3.3571428571428568","3.3571428571428568","","","","","","","","",""
"20","125","124","126","","","","2.8235294117647056","2.8235294117647056","2.8235294117647056","","","","3","3","3","","","","123","122","124","","","","3.428571428571428","3.428571428571428","3.428571428571428","","","","3","3","3","","","","127","126","128","","","","3.3571428571428568","3.3571428571428568","3.3571428571428568","","","","3","3","3","","","","125","124","126","","","","2.7647058823529407","2.7647058823529407","2.7647058823529407","","","","3","3","3","","","","127","126","128","","","","3.3571428571428568","3.3571428571428568","3.3571428571428568","","","","3","3","3","","",""
"21","127","127","127","4","4","4","","","","","","","","","","","","","125","125","125","4","4","4","","","","","","","","","","","","","129","129","129","4","4","4","","","","","","","","","","","","","127","127","127","4","4","4","","","","","","","","","","","","","129","129","129","4","4","4","","","","","","","","","","","",""
"22","133","133","133","","","","2.8235294117647056","2.8235294117647056","2.8235294117647056","","","","","","","","","","131","131","131","","","","3.428571428571428","3.428571428571428","3.428571428571428","","","","","","","","","","135","135","135","","","","3.2857142857142856","3.2857142857142856","3.2857142857142856","","","","","","","","","","133","133","133","","","","2.5882352941176467","2.5882352941176467","2.5882352941176467","","","","","","","","","","135","135","135","","","","3.2857142857142856","3.2857142857142856","3.2857142857142856","","","","","","","","",""
"23","140","140","140","","","","2.6470588235294117","2.6470588235294117","2.6470588235294117","","","","","","","","","","138","138","138","","","","3.428571428571428","3.428571428571428","3.428571428571428","","","","","","","","","","142","142","142","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","","","140","140","140","","","","2.7647058823529407","2.7647058823529407","2.7647058823529407","","","","","","","","","","142","142","142","","","","3.4999999999999996","3.4999999999999996","3.4999999999999996","","","","","","","","",""
